Ynb,Mnb,CD,RD,CDC
2013,1,31,28,1.1071428571
2013,2,28,28,1
2013,3,31,35,0.8857142857
2013,4,30,28,1.0714285714
2013,5,31,28,1.1071428571
2013,6,30,35,0.8571428571
2013,7,31,28,1.1071428571
2013,8,31,28,1.1071428571
2013,9,30,35,0.8571428571
2013,10,31,28,1.1071428571
2013,11,30,28,1.0714285714
2013,12,31,35,0.8857142857
2014,1,31,28,1.1071428571
2014,2,28,28,1
2014,3,31,35,0.8857142857
2014,4,30,28,1.0714285714
2014,5,31,28,1.1071428571
2014,6,30,35,0.8571428571
2014,7,31,28,1.1071428571
2014,8,31,28,1.1071428571
2014,9,30,35,0.8571428571
2014,10,31,28,1.1071428571
2014,11,30,28,1.0714285714
2014,12,31,35,0.8857142857
2015,1,31,28,1.1071428571
2015,2,28,28,1
2015,3,31,35,0.8857142857
2015,4,30,28,1.0714285714
2015,5,31,28,1.1071428571
2015,6,30,35,0.8571428571
2015,7,31,28,1.1071428571
2015,8,31,28,1.1071428571
2015,9,30,35,0.8571428571
2015,10,31,28,1.1071428571
2015,11,30,28,1.0714285714
2015,12,31,42,0.7380952381
2016,1,31,28,1.1071428571
2016,2,29,28,1.0357142857
2016,3,31,35,0.8857142857
2016,4,30,28,1.0714285714
2016,5,31,28,1.1071428571
2016,6,30,35,0.8571428571
2016,7,31,28,1.1071428571
2016,8,31,28,1.1071428571
2016,9,30,35,0.8571428571
2016,10,31,28,1.1071428571
2016,11,30,28,1.0714285714
2016,12,31,35,0.8857142857
2017,1,31,28,1.1071428571
2017,2,28,28,1
2017,3,31,35,0.8857142857
2017,4,30,28,1.0714285714
2017,5,31,28,1.1071428571
2017,6,30,35,0.8571428571
2017,7,31,28,1.1071428571
2017,8,31,28,1.1071428571
2017,9,30,35,0.8571428571
2017,10,31,28,1.1071428571
2017,11,30,28,1.0714285714
2017,12,31,35,0.8857142857
2018,1,31,28,1.1071428571
2018,2,28,28,1
2018,3,31,35,0.8857142857
2018,4,30,28,1.0714285714
2018,5,31,28,1.1071428571
2018,6,30,35,0.8571428571
2018,7,31,28,1.1071428571
2018,8,31,28,1.1071428571
2018,9,30,35,0.8571428571
2018,10,31,28,1.1071428571
2018,11,30,28,1.0714285714
2018,12,31,35,0.8857142857
2019,1,31,28,1.1071428571
2019,2,28,28,1
2019,3,31,35,0.8857142857
2019,4,30,28,1.0714285714
2019,5,31,28,1.1071428571
2019,6,30,35,0.8571428571
2019,7,31,28,1.1071428571
2019,8,31,28,1.1071428571
2019,9,30,35,0.8571428571
2019,10,31,28,1.1071428571
2019,11,30,28,1.0714285714
2019,12,31,35,0.8857142857
