PS3,Channel,EC
Base,MT,6.06
Plus,MT,6.06
Specials,MT,5.3
Instant Cereals,MT,5.36
Cereal Biscuits,MT,4.3
Fruits,MT,2.8
Savoury Meal,MT,2.8
Drinks,MT,5.58
Dairy/desserts,MT,5.58
Ready To Eat Cereals,MT,5.58
Liquid Cereals,MT,5.58
Base,DRUG,6.06
Plus,DRUG,6.06
Specials,DRUG,5.3
Instant Cereals,DRUG,5.36
Cereal Biscuits,DRUG,4.3
Fruits,DRUG,2.8
Savoury Meal,DRUG,2.8
Drinks,DRUG,5.58
Dairy/desserts,DRUG,5.58
Ready To Eat Cereals,DRUG,5.58
Liquid Cereals,DRUG,5.58
Base,PHARMA,1.3
Plus,PHARMA,1.3
Specials,PHARMA,1.82
Instant Cereals,PHARMA,1.3
Cereal Biscuits,PHARMA,1.83
Fruits,PHARMA,2.93
Savoury Meal,PHARMA,2.93
Drinks,PHARMA,1.39
Dairy/desserts,PHARMA,1.39
Ready To Eat Cereals,PHARMA,1.39
Liquid Cereals,PHARMA,1.39
Base,ATB,1
Plus,ATB,1
Specials,ATB,1
Instant Cereals,ATB,1
Cereal Biscuits,ATB,1
Fruits,ATB,1
Savoury Meal,ATB,1
Drinks,ATB,1
Dairy/desserts,ATB,1
Ready To Eat Cereals,ATB,1
Liquid Cereals,ATB,1
Base,SILPO,1
Plus,SILPO,1
Specials,SILPO,1
Instant Cereals,SILPO,1
Cereal Biscuits,SILPO,1
Fruits,SILPO,1
Savoury Meal,SILPO,1
Drinks,SILPO,1
Dairy/desserts,SILPO,1
Ready To Eat Cereals,SILPO,1
Liquid Cereals,SILPO,1
